Store,RR State,Store Format,Store Name,City,Timing
2578,Tamil Nadu,FRESH,KK nagar,MADURAI,9am-10pm
2579,Tamil Nadu,FRESH,SBOA Colony,MADURAI,9am-10pm
2629,Tamil Nadu,FRESH,Golden George Nagar,CHENNAI,9am-10pm
2724,Tamil Nadu,FRESH,Chandran Nagar,CHENNAI,9am-10pm
2728,Tamil Nadu,FRESH,Villivakkam,CHENNAI,9am-10pm
2729,Tamil Nadu,FRESH,Kodungaiyur,CHENNAI,9am-10pm
2732,Tamil Nadu,FRESH,Royapuram,CHENNAI,9am-10pm
2733,Tamil Nadu,FRESH,Medavakkam,CHENNAI,9am-10pm
2734,Tamil Nadu,FRESH,Pattabhiram,CHENNAI,9am-10pm
2739,Tamil Nadu,FRESH,Peelamedu,COIMBATORE,9am-10pm
2744,Tamil Nadu,FRESH,Sri sathya sai nagar,MADURAI,9am-10pm
2747,Tamil Nadu,FRESH,HB Road,TRICHY,9am-10pm
2772,Tamil Nadu,FRESH,West mambalam,CHENNAI,9am-10pm
2809,Tamil Nadu,FRESH,Hasthampatti Salem,SALEM,9am-10pm
2810,Tamil Nadu,FRESH,PN Palayam,COIMBATORE,9am-10pm
2819,Tamil Nadu,FRESH,MKB Nagar,CHENNAI,9am-10pm
2823,Tamil Nadu,FRESH,Avadi,CHENNAI,9am-10pm
2828,Tamil Nadu,FRESH,Ambattur OT,CHENNAI,9am-10pm
2829,Tamil Nadu,FRESH,KK nagar (trichy),TRICHY,9am-10pm
2841,Tamil Nadu,FRESH,Saradha Theatre/Ammapet,SALEM,9am-10pm
2855,Tamil Nadu,FRESH,Srinivasa Nagar,TRICHY,9am-10pm
2862,Tamil Nadu,FRESH,Poonamallee,CHENNAI,9am-10pm
2890,Tamil Nadu,FRESH,ThiruNagar,MADURAI,9am-10pm
2913,Tamil Nadu,FRESH,Maulivakkam,CHENNAI,9am-10pm
2917,Tamil Nadu,FRESH,Pallavaram,CHENNAI,9am-10pm
2920,Tamil Nadu,FRESH,Shyam Nest - Kolathur,CHENNAI,9am-10pm
2937,Tamil Nadu,FRESH,RF Tambaram,CHENNAI,9am-10pm
2953,Tamil Nadu,FRESH,"RF - Dorairaj , Radhanagar",CHENNAI,9am-10pm
3219,Tamil Nadu,FRESH,KamrajSalai,MADURAI,9am-10pm
2000,Telangana,FRESH,Ramanthapur,HYDERABAD,9am-10pm
2004,Telangana,FRESH,Vivekanandanagar,HYDERABAD,9am-10pm
2006,Telangana,FRESH,Yousufguda,HYDERABAD,9am-10pm
2007,Telangana,FRESH,Balkampet-Ameerpet,HYDERABAD,9am-10pm
2008,Telangana,FRESH,Alwal,HYDERABAD,9am-10pm
2011,Telangana,FRESH,Bowenpally,SECUNDERABAD,9am-10pm
2012,Telangana,FRESH,Vidyanagar,HYDERABAD,9am-10pm
2014,Telangana,FRESH,Banjarahills,HYDERABAD,9am-10pm
2021,Telangana,FRESH,Survey of India,HYDERABAD,9am-10pm
2023,Telangana,FRESH,Amba Gardens,HYDERABAD,9am-10pm
2025,Telangana,FRESH,Malkajgiri,HYDERABAD,9am-10pm
2104,Telangana,FRESH,West Marredpally,SECUNDERABAD,9am-10pm
2105,Telangana,FRESH,Vanasthalipuram,HYDERABAD,9am-10pm
2107,Telangana,FRESH,Nagole Village,HYDERABAD,9am-10pm
2109,Telangana,FRESH,Kushaiguda,HYDERABAD,9am-10pm
2113,Telangana,FRESH,Hydershakot,HYDERABAD,9am-10pm
2114,Telangana,FRESH,Filmnagar,HYDERABAD,9am-10pm
2116,Telangana,FRESH,Moti Nagar,HYDERABAD,9am-10pm
2397,Telangana,FRESH,Hanumakonda,WARANGAL,9am-10pm
